d = 0.5
n	PD	BF_1	BF_2	GH_4
2	0.040913	0.000292	0.000293	0.000584	
4	0.130338	0.000877	0.000584	0.000585	
6	0.234666	0.002631	0.002045	0.000585	
8	0.277626	0.011982	0.005845	0.001461	
10	0.658703	0.308895	0.026593	0.001753	
12	0.733516	0.232914	0.085917	0.001754	
14	0.796639	1.01056	0.335781	0.002338	
16	1.05381	4.55043	1.30046	0.00263	
18	1.2613	19.2769	5.86579	0.003215	
20	1.51847	82.6114	21.2471	0.003507	
22	1.62572	359.937	99.9186	0.003799	
24	2.44573	1645.89	339.103	0.003799	
26	2.8952	6350.14	1355.87	0.004383	
d = 0.25
n	PD	BF_1	BF_2	GH_4
2	0.011982	0.000292	0.000585	0.000292	
4	0.056986	0.000585	0.000584	0.000876	
6	0.11105	0.002922	0.001169	0.001168	
8	0.224438	0.011982	0.00263	0.001169	
10	0.220932	0.095854	0.005845	0.001461	
12	0.303343	0.232036	0.017826	0.001754	
14	0.388968	1.01377	0.052895	0.002338	
16	0.468749	4.42564	0.18148	0.002923	
18	0.695525	19.2155	0.502941	0.003215	
20	0.769461	84.0504	1.77184	0.003214	
22	0.867945	368.97	4.53085	0.003799	
24	0.776767	1507.23	21.862	0.004092	
26	0.830831	6324.73	62.5333	0.004384	
d = 0.75
n	PD	BF_1	BF_2	GH_4
2	0.136767	0.000585	0.000585	0.000584	
4	0.278502	0.000584	0.000877	0.000877	
6	0.455599	0.002631	0.002922	0.000876	
8	0.745206	0.012274	0.009352	0.001461	
10	0.97052	0.054648	0.036238	0.001461	
12	2.04274	0.244019	0.174466	0.001754	
14	1.79697	1.03306	0.583598	0.002338	
16	2.22568	4.92449	2.37355	0.00263	
18	2.45246	20.4151	9.75138	0.002922	
20	2.72804	84.7477	39.704	0.002923	
22	3.13717	369.054	163.724	0.003799	
24	3.02612	1573.12	700.503	0.003507	
26	3.63543	6382.22	2515.35	0.004383	
d = 0.5
n	GH_1	GH_2	GH_3	GH_4
50	52.2236	13.8652	12.7674	1.30702	
100	36.9754	12.5656	10.7879	0.2313	
150	28.6091	13.9373	8.60474	0.22357	
200	29.5107	15.4763	8.66984	0.20246	
250	34.4754	14.6153	9.5804	0	
300	31.7543	14.3742	7.72242	0.0553686	
350	34.9578	15.487	7.32961	0.0325807	
400	35.1191	14.9267	6.30333	0.0424781	
450	34.6561	12.1604	7.6562	0.0027957	
500	36.8641	13.9133	7.69304	0.0166071	
d = 0.25
n	GH_1	GH_2	GH_3	GH_4
50	46.4399	13.2503	15.7022	0	
100	47.9132	16.2141	16.7864	0.303662	
150	59.8591	15.8145	17.6621	0.0197531	
200	54.3929	15.5918	22.8333	0.0109484	
250	53.9472	15.8226	22.1421	0.0213588	
300	54.1658	12.6184	19.1612	0.0105013	
350	55.519	11.567	19.3911	0.0633523	
400	57.0352	12.523	19.921	0.0555436	
450	55.0097	12.5807	21.608	0.0165182	
500	55.6844	13.6751	21.1423	0.0308149	
d = 0.75
n	GH_1	GH_2	GH_3	GH_4
50	14.3758	3.79468	0.88674	0.225731	
100	21.7162	6.75396	1.6061	0.118262	
150	18.9026	6.989	1.71572	0	
200	20.1948	7.49957	1.7962	0.00207082	
250	20.018	8.87991	1.30117	0	
300	16.6471	10.3768	1.28023	0	
350	16.6031	9.97808	1.57039	0.0147516	
400	19.1025	10.1982	1.17946	0.0160061	
450	21.2527	9.74512	1.73202	0.0249177	
500	22.6643	9.12242	1.57025	0.00612544	
